Sample	Nb_read	Total_read	relative_abundance	Sample_bis
I07S00C000OA059S320	25847	147578383	0.0175140826688689	I07S00C000OA059S
I07S01C000OA000S023	60292	164262275	0.0367047150661952	I07S01C000OA000S
I07S01C000OA000S320	75795	164951372	0.0459499057698047	I07S01C000OA000S
I07S01C010OA000S023	56813	156726845	0.0362496928972187	I07S01C010OA000S
I07S01C010OA000S320	31356	104122765	0.0301144519164469	I07S01C010OA000S
I07S02C000OA000S023	81301	208663008	0.0389628237315548	I07S02C000OA000S
I07S02C000OA000S320	45269	161350734	0.0280562715010643	I07S02C000OA000S
I07S02C001OA000S023	27098	115822607	0.023396123349218	I07S02C001OA000S
I07S02C001OA000S320	68168	180305328	0.0378069803905074	I07S02C001OA000S
I07S02C010OA000S023	22734	108567948	0.0209398818148428	I07S02C010OA000S
I07S02C010OA000S320	34619	131769917	0.0262723091796438	I07S02C010OA000S
I07S03C000OA000S023	37252	143460104	0.0259668011951253	I07S03C000OA000S
I07S03C000OA000S320	54493	129162834	0.0421893808864553	I07S03C000OA000S
I07S03C001OA000S023	30076	106825166	0.0281544144757051	I07S03C001OA000S
I07S03C001OA000S320	49383	116514745	0.0423834768723907	I07S03C001OA000S
I07S03C010OA000S023	30669	123948784	0.0247432842907116	I07S03C010OA000S
I07S03C010OA000S320	68241	153497603	0.0444573717545283	I07S03C010OA000S
I08S01C000OA000S023	39357	120499547	0.032661533574064	I08S01C000OA000S
I08S01C000OA000S320	57152	139511619	0.0409657635755772	I08S01C000OA000S
I08S01C001OA000S023	48693	181655715	0.0268051021681316	I08S01C001OA000S
I08S01C001OA000S320	36744	141668016	0.0259366941370874	I08S01C001OA000S
I08S01C010OA000S023	34678	137086961	0.0252963518536238	I08S01C010OA000S
I08S01C010OA000S320	43553	123567973	0.0352461879422429	I08S01C010OA000S
I09S01C000OA000S023	41675	166238333	0.0250694284813359	I09S01C000OA000S
I09S01C000OA000S320	30647	120979180	0.0253324580312083	I09S01C000OA000S
I09S01C001OA000S023	27489	128491305	0.0213936655091175	I09S01C001OA000S
I09S01C001OA000S320	60485	134752967	0.0448858391370336	I09S01C001OA000S
I09S01C010OA000S023	26215	122029108	0.0214825793858954	I09S01C010OA000S
I09S01C010OA000S320	27058	88731115	0.0304943761835969	I09S01C010OA000S
I10S00C000OA068S023	34680	100392812	0.0345443058214168	I10S00C000OA068S
I10S00C000OA068S320	33744	118294633	0.0285253854247132	I10S00C000OA068S
I10S00C000OA069S023	23748	113049918	0.0210066494696617	I10S00C000OA069S
I10S00C000OA069S320	27855	125247323	0.0222399962991624	I10S00C000OA069S
I10S00C000OA070S023	37945	117036250	0.032421578784351	I10S00C000OA070S
I10S00C000OA070S320	20081	111188201	0.0180603695530608	I10S00C000OA070S
I10S00C000OA071S023	40687	126105574	0.0322642359964199	I10S00C000OA071S
I10S00C000OA071S320	34047	153608848	0.0221647388436895	I10S00C000OA071S
I10S01C000OA000S023	71623	99605230	0.0719068667378209	I10S01C000OA000S
I10S01C001OA000S023	100837	110895223	0.0909299763074556	I10S01C001OA000S
I10S01C001OA000S320	140211	126015577	0.111264816094918	I10S01C001OA000S
I10S01C010OA000S320	91490	100594926	0.0909489212209371	I10S01C010OA000S
I10S02C000OA000S023	110655	130076582	0.0850691172066621	I10S02C000OA000S
I10S02C000OA000S320	192849	98144271	0.196495422539743	I10S02C000OA000S
I10S02C001OA000S023	69346	110854535	0.0625558530374964	I10S02C001OA000S
I10S02C001OA000S320	52531	95921070	0.0547648186159725	I10S02C001OA000S
I10S02C010OA000S023	105392	112267580	0.0938757208447889	I10S02C010OA000S
I10S02C010OA000S320	72603	114389508	0.0634699818798067	I10S02C010OA000S
I10S03C000OA000S023	59473	103028334	0.0577248973083463	I10S03C000OA000S
I10S03C000OA000S320	99292	87147477	0.113935599076494	I10S03C000OA000S
I10S03C010OA000S320	56641	190543780	0.029725976885732	I10S03C010OA000S
I11S00C000OA073S320	28045	122283947	0.0229343267763511	I11S00C000OA073S
I12S01C000OA000S023	60808	149829228	0.0405848717314355	I12S01C000OA000S
I12S01C000OA000S320	64875	155831876	0.0416314053743407	I12S01C000OA000S
I12S01C001OA000S023	27966	115942847	0.0241205048207933	I12S01C001OA000S
I12S01C001OA000S320	30927	136401691	0.0226734725744712	I12S01C001OA000S
I12S01C010OA000S023	41922	130786351	0.0320538035348964	I12S01C010OA000S
I12S01C010OA000S320	51470	124818309	0.0412359375898932	I12S01C010OA000S
I13S01C000OA000S023	934439	126907993	0.736312172236464	I13S01C000OA000S
I13S01C000OA000S320	791107	121042803	0.653576239472908	I13S01C000OA000S
I13S01C001OA000S023	1819834	154946743	1.17448999879914	I13S01C001OA000S
I13S01C001OA000S320	311864	146511598	0.212859599005944	I13S01C001OA000S
I13S01C010OA000S023	822255	139749883	0.588376163434784	I13S01C010OA000S
I13S01C010OA000S320	284791	120963702	0.235435089445262	I13S01C010OA000S
I14S01C000OA000S023	113129	150633688	0.0751020581797081	I14S01C000OA000S
I14S01C000OA000S320	257913	152768917	0.168825573333088	I14S01C000OA000S
I14S01C001OA000S023	92594	111648691	0.0829333502888986	I14S01C001OA000S
I14S01C001OA000S320	112559	116040333	0.0969998939937547	I14S01C001OA000S
I14S01C010OA000S023	161225	125340727	0.128629379977986	I14S01C010OA000S
I14S01C010OA000S320	198115	121510795	0.163043127155904	I14S01C010OA000S
I15S00C000OA092S023	45816	110119905	0.0416055571424621	I15S00C000OA092S
I15S00C000OA092S320	30304	145820006	0.0207817849081696	I15S00C000OA092S
I15S00C000OA093S023	44490	107207068	0.0414991295163487	I15S00C000OA093S
I15S00C000OA093S320	30454	151813877	0.0200600897637309	I15S00C000OA093S
I15S01C000OA000S023	40312	87105361	0.046279585478097	I15S01C000OA000S
I15S01C000OA000S320	45178	138056140	0.0327243685068987	I15S01C000OA000S
I15S01C001OA000S023	50655	108982133	0.0464800959621519	I15S01C001OA000S
I15S01C001OA000S320	54247	109041956	0.049748740750762	I15S01C001OA000S
